Date,Session,LoginName,Password,TodaysSellPosition,TodaysBuyPosition,SellPositionUntilYesterday,BuyPositionUntilYesterday,SumOfSellPosition,SumOfBuyPosition,InitialCash,UnrealizedProfit,Profit,Margin,SumOfFee,Loan,SumOfInterest,Surplus,Cash,Status
29,1,su,supasswd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,697800000,1
29,1,U17_2,mypasswd1,0,0,0,0,0,0,1000000000,0,0,0,0,0,0,1000000000,1000000000,1
29,1,URandomAgent,mypasswd1,0,0,1744,1996,1744,1996,1000000000,-27419000,0,75600000,0,0,0,896981000,972581000,1
29,1,UMovingAverageAgent,mypasswd2,0,0,99,100,99,100,1000000000,-318000,0,300000,0,0,0,999382000,999682000,1
29,1,TrendStrategy,passwd1,0,0,1768,1725,1768,1725,1000000000,-19544000,0,12900000,0,0,0,967556000,980456000,1
29,1,AntiTrendStrategy1,passwd2,0,32,1489,1626,1489,1658,1000000000,-52893000,0,50700000,0,0,0,896407000,947107000,1
29,1,AntiTrendStrategy2,passwd3,0,43,1731,1869,1731,1912,1000000000,-31725000,0,54300000,0,0,0,913975000,968275000,1
29,1,SRandomStrategy0000,passwd4,27,0,1504,1461,1531,1461,1000000000,73871000,0,21000000,0,0,0,1052871000,1073871000,1
29,1,SRandomStrategy0001,passwd5,34,0,1608,1579,1642,1579,1000000000,34612000,0,18900000,0,0,0,1015712000,1034612000,1
29,1,SRandomStrategy0002,passwd6,0,0,1594,1718,1594,1718,1000000000,36566000,0,37200000,0,0,0,999366000,1036566000,1
29,1,RsiStrategy,passwd7,0,19,1011,1112,1011,1131,1000000000,-26038000,0,36000000,0,0,0,937962000,973962000,1
29,1,SRsiStrategy1,passwd8,0,0,323,188,323,188,1000000000,9180000,0,40500000,0,0,0,968680000,1009180000,1
29,1,SRsiStrategy2,passwd9,0,0,358,225,358,225,1000000000,-154000,0,39900000,0,0,0,959946000,999846000,1
29,1,SRsiStrategy3,passwd10,0,0,337,188,337,188,1000000000,-28240000,0,44700000,0,0,0,927060000,971760000,1
29,1,MovingAverageStrategy,passwd11,0,0,248,210,248,210,1000000000,-17164000,0,11400000,0,0,0,971436000,982836000,1
29,1,SMovingAverageStrategy1,passwd12,0,0,310,279,310,279,1000000000,-10220000,0,9300000,0,0,0,980480000,989780000,1
29,1,SMovingAverageStrategy2,passwd13,0,0,259,199,259,199,1000000000,-2868000,0,18000000,0,0,0,979132000,997132000,1
29,1,SMovingAverageStrategy3,passwd14,0,0,263,233,263,233,1000000000,-6376000,0,9000000,0,0,0,984624000,993624000,1
29,1,SFSpreadStrategy1,passwd15,29,0,1173,986,1202,986,1000000000,71295000,0,64800000,0,0,0,1006495000,1071295000,1
29,1,SFSpreadStrategy2,passwd16,41,0,1255,1101,1296,1101,1000000000,63912000,0,58500000,0,0,0,1005412000,1063912000,1
29,1,DayTradeStrategy1,passwd17,0,12,601,833,601,845,1000000000,-36696000,0,73200000,0,0,0,890104000,963304000,1
29,1,DayTradeStrategy2,passwd18,0,25,729,776,729,801,1000000000,-29781000,0,21600000,0,0,0,948619000,970219000,1
