Date,Session,LoginName,Password,TodaysSellPosition,TodaysBuyPosition,SellPositionUntilYesterday,BuyPositionUntilYesterday,SumOfSellPosition,SumOfBuyPosition,InitialCash,UnrealizedProfit,Profit,Margin,SumOfFee,Loan,SumOfInterest,Surplus,Cash,Status
1,6,su,supasswd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105600000,1
1,6,URandomAgent,mypasswd1,19,65,0,0,19,65,1000000000,0,0,13800000,0,0,0,986200000,1000000000,1
1,6,UMovingAverageAgent,mypasswd2,0,0,0,0,0,0,1000000000,0,0,0,0,0,0,1000000000,1000000000,1
1,6,TrendStrategy,passwd1,27,37,0,0,27,37,1000000000,0,0,3000000,0,0,0,997000000,1000000000,1
1,6,AntiTrendStrategy1,passwd2,71,59,0,0,71,59,1000000000,0,0,3600000,0,0,0,996400000,1000000000,1
1,6,AntiTrendStrategy2,passwd3,13,31,0,0,13,31,1000000000,0,0,5400000,0,0,0,994600000,1000000000,1
1,6,SRandomStrategy0000,passwd4,42,72,0,0,42,72,1000000000,0,0,9000000,0,0,0,991000000,1000000000,1
1,6,SRandomStrategy0001,passwd5,31,39,0,0,31,39,1000000000,0,0,2400000,0,0,0,997600000,1000000000,1
1,6,SRandomStrategy0002,passwd6,41,40,0,0,41,40,1000000000,0,0,300000,0,0,0,999700000,1000000000,1
1,6,RsiStrategy,passwd7,70,0,0,0,70,0,1000000000,0,0,21000000,0,0,0,979000000,1000000000,1
1,6,SRsiStrategy1,passwd8,0,0,0,0,0,0,1000000000,0,0,0,0,0,0,1000000000,1000000000,1
1,6,SRsiStrategy2,passwd9,50,0,0,0,50,0,1000000000,0,0,15000000,0,0,0,985000000,1000000000,1
1,6,SRsiStrategy3,passwd10,43,0,0,0,43,0,1000000000,0,0,12900000,0,0,0,987100000,1000000000,1
1,6,MovingAverageStrategy,passwd11,0,0,0,0,0,0,1000000000,0,0,0,0,0,0,1000000000,1000000000,1
1,6,SMovingAverageStrategy1,passwd12,0,0,0,0,0,0,1000000000,0,0,0,0,0,0,1000000000,1000000000,1
1,6,SMovingAverageStrategy2,passwd13,0,0,0,0,0,0,1000000000,0,0,0,0,0,0,1000000000,1000000000,1
1,6,SMovingAverageStrategy3,passwd14,0,0,0,0,0,0,1000000000,0,0,0,0,0,0,1000000000,1000000000,1
1,6,SFSpreadStrategy1,passwd15,12,61,0,0,12,61,1000000000,0,0,14700000,0,0,0,985300000,1000000000,1
1,6,SFSpreadStrategy2,passwd16,28,43,0,0,28,43,1000000000,0,0,4500000,0,0,0,995500000,1000000000,1
1,6,DayTradeStrategy1,passwd17,0,0,0,0,0,0,1000000000,0,0,0,0,0,0,1000000000,1000000000,1
1,6,DayTradeStrategy2,passwd18,0,0,0,0,0,0,1000000000,0,0,0,0,0,0,1000000000,1000000000,1
